N_out,P_low,P_upp
0,0.9833292775690534,1.0
1,0.9803374064882701,0.99999999995
2,0.9777998728063886,0.9999996835806966
3,0.975495945896762,0.9999932877486767
4,0.9733425379427857,0.9999666318073931
5,0.9712971217248495,0.9999081437518911
6,0.9693343198264853,0.9998129364138406
7,0.967437492464295,0.9996805487780438
8,0.965595004392988,0.999512633339499
9,0.9637983291408815,0.9993116521281956
10,0.9620409906278807,0.9990802501776079
11,0.9603179290309475,0.9988209794542136
12,0.9586250993966275,0.9985361907191936
13,0.9569592061493107,0.9982280030191958
14,0.9553175210321104,0.9978983076184326
15,0.9536977544363654,0.9975487859527361
16,0.9520979621033453,0.9971809320696334
17,0.950516475966471,0.9967960752295577
18,0.9489518518955877,0.9963954008416196
19,0.9474028295422564,0.9959799690965229
20,0.9458683010206062,0.9955507312111292
21,0.9443472861528805,0.9951085434398845
22,0.9428389126690074,0.9946541790980074
23,0.941342400197414,0.9941883388594295
24,0.9398570471941903,0.993711659578464
25,0.9383822201759231,0.993224721857561
26,0.9369173447776683,0.9927280565537236
27,0.9354618982709189,0.9922221503875169
28,0.9340154032598529,0.9917074507928927
29,0.9325774223363138,0.9911843701237832
30,0.9311475535207998,0.9906532893145178
31,0.9297254263524056,0.9901145610752629
32,0.9283106985180706,0.9895685126904813
33,0.926903052932764,0.9890154484774352
34,0.9255021951988718,0.988455651952665
35,0.9241078513861812,0.9878893877468352
36,0.9227197660842806,0.9873169033020713
37,0.9213377006875333,0.9867384303807115
38,0.9199614318795029,0.9861541864100523
39,0.9185907502891474,0.9855643756840422
40,0.917225459295533,0.9849691904398445
41,0.9158653739614548,0.9843688118246328
42,0.914510320079342,0.9837634107658394
43,0.9131601333153059,0.9831531487562599
44,0.9118146584392468,0.982538178563875
45,0.9104737486306596,0.9819186448749493
46,0.9091372648512204,0.9812946848778489
47,0.9078050752764559,0.9806664287940685
48,0.9064770547798214,0.9800340003621439
49,0.9051530844633937,0.9793975172794226
50,0.9038330512301204,0.9787570916060648
51,0.9025168473932115,0.9781128301351214
52,0.9012043703187981,0.9774648347320873
53,0.8998955220984537,0.9768132026469342
54,0.8985902092485809,0.9761580268012856
55,0.8972883424340126,0.9754993960531028
56,0.8959898362134808,0.9748373954409837
57,0.8946946088048752,0.9741721064099564
58,0.8934025818684352,0.9735036070204434
59,0.8921136803062317,0.9728319721418973
60,0.8908278320764599,0.972157273632459
61,0.8895449680212285,0.9714795805058424
62,0.8882650217066638,0.9707989590865393
63,0.886987929274265,0.9701154731543224
64,0.8857136293025594,0.9694291840789321
65,0.8844420626781956,0.9687401509457484
66,0.8831731724756977,0.9680484306731727
67,0.8819069038451803,0.9673540781223756
68,0.8806432039073869,0.9666571462000075
69,0.8793820216554755,0.9659576859544153
70,0.8781233078630304,0.9652557466658584
71,0.8768670149978187,0.9645513759311732
72,0.8756130971408638,0.9638446197432997
73,0.8743615099104365,0.9631355225660426
74,0.8731122103906032,0.9624241274044126
75,0.8718651570640036,0.9617104758708623
76,0.870620309748551,0.9609946082477042
77,0.869377629537783,0.9602765635459778
78,0.8681370787446053,0.9595563795610074
79,0.8668986208481966,0.9588340929248765
80,0.8656622204438587,0.9581097391560238
81,0.8644278431956154,0.9573833527061524
82,0.8631954557913779,0.9566549670046262
83,0.8619650259005067,0.9559246145005181
84,0.8607365221336184,0.9551923267024583
85,0.8595099140044898,0.9544581342164214
86,0.8582851718939307,0.9537220667815824
87,0.8570622670154988,0.9529841533043595
88,0.8558411713829454,0.9522444218907558
89,0.8546218577792852,0.9515028998771003
90,0.8534042997273923,0.9507596138592873
91,0.8521884714620303,0.9500145897205987
92,0.8509743479032333,0.9492678526581965
93,0.8497619046309584,0.9485194272083585
94,0.848551117860934,0.9477693372705324
95,0.8473419644216396,0.947017606130273
96,0.8461344217323481,0.946264256481126
97,0.8449284677821762,0.945509310445518
98,0.8437240811100819,0.9447527895947045
99,0.8425212407857604,0.9439947149678309
100,0.8413199263913894,0.943235107090151
101,0.8401201180041757,0.9424739859904504
102,0.8389217961796633,0.9417113712177151
103,0.83772494193576,0.9409472818570861
104,0.8365295367374477,0.9401817365451366
105,0.8353355624821389,0.9394147534845063
106,0.8341430014856466,0.938646350457926
