N_out,P_low,P_upp
0,0.8452587983247164,1.0
1,0.8191387027839301,0.9999999995
2,0.7972444577944218,0.9999968214613554
3,0.7775646042709659,0.9999322670637955
4,0.7593360669480393,0.999661774610977
5,0.742165815254684,0.999064862549214
6,0.725818051192987,0.9980875489922908
7,0.7101374331870262,0.9967207131313345
8,0.6950148846387154,0.9949771921445383
9,0.6803701751482161,0.9928786716036776
10,0.6661421671816006,0.9904492782714623
11,0.6522829562369159,0.9877126825217382
12,0.6387541521295137,0.9846909047054903
13,0.6255244132509007,0.9814039231013476
14,0.6125677517411451,0.9778696472408549
15,0.5998623329889912,0.9741040476044692
16,0.5873896032985184,0.9701213422799014
17,0.5751336419542832,0.9659341942167265
18,0.5630806706972186,0.9615538984944177
19,0.5512186761082902,0.9569905515294012
20,0.5395371145831698,0.9522532001217263
21,0.5280266787828983,0.9473499709799936
22,0.5166791105619575,0.9422881824991459
23,0.5054870495304618,0.9370744409195211
24,0.4944439092859282,0.9317147229809859
25,0.48354377537995274,0.9262144470115667
26,0.4727813205395677,0.9205785341595889
27,0.4621517337205019,0.9148114612419869
28,0.45165066034874024,0.9089173064616638
29,0.44127415168801654,0.9028997890521495
30,0.4310186217093924,0.896762303740049
31,0.42088081017344026,0.8905079507734008
32,0.4108577508929835,0.8841395621443487
33,0.40094674434439725,0.8776597245343405
34,0.39114533395225104,0.8710707994264217
35,0.38145128549595153,0.8643749407593869
36,0.3718625691856723,0.8575741104402524
37,0.36237734403397037,0.8506700919827332
38,0.35299394421338204,0.8436645024984952
39,0.3437108671422686,0.8365588032335209
40,0.33452676308373297,0.8293543088128547
41,0.32544042607751567,0.8220521953323228
42,0.3164507860539001,0.8146535074147985
43,0.30755690200300045,0.8071591643305505
44,0.2987579560933238,0.7995699652656503
45,0.29005324865090687,0.7918865938088799
46,0.28144219392526626,0.7841096217156945
47,0.27292431658131255,0.776239511997264
48,0.2644992488677058,0.7682766213731449
49,0.25616672842216515,0.7602212021175208
50,0.24792659668327954,0.7520734033209628
51,0.23977879788665735,0.7438332715821403
52,0.23172337863096737,0.7355007511366614
53,0.2237604880067814,0.7270756834231149
54,0.21589037828828261,0.7185578060792202
55,0.2081134061950276,0.709946751353637
56,0.2004300347381862,0.7012420439112768
57,0.19284083567321375,0.6924430980016552
58,0.18534649258889202,0.6835492139508088
59,0.1779478046712928,0.6745595739272454
60,0.17064569119068462,0.6654732369210788
61,0.16344119676994084,0.6562891328625924
62,0.1563354975048875,0.6470060557915267
63,0.149329908020569,0.637622655970985
64,0.1424258895629681,0.6281374308193279
65,0.13562505924375046,0.6185487145090922
66,0.12892920057663115,0.6088546660528344
67,0.12234027546862647,0.5990532556607286
68,0.11586043785853106,0.5891422491121809
69,0.10949204922939026,0.5791191898317611
70,0.10323769626265178,0.5689813782958445
71,0.09710021095045973,0.5587258483172541
72,0.09108269354085241,0.5483493396565624
73,0.08518853876043464,0.537848266284831
74,0.07942146584273668,0.5272186794657934
75,0.07378555299066136,0.5164562246254348
76,0.06828527702114306,0.5055560907194838
77,0.0629255590825073,0.49451295047497257
78,0.05771181750278043,0.48332088944349727
79,0.05265002902182914,0.4719733212225745
80,0.04774679987999153,0.46046288542231895
81,0.04300944847221011,0.4487813238972118
82,0.038446101507085606,0.43691932930829447
83,0.03406580578466745,0.4248663580512382
84,0.029878657721381985,0.4126103967070085
85,0.025895952396702393,0.4001376670165384
86,0.02213035276020403,0.38743224826438394
87,0.018596076899597747,0.37447558675462456
88,0.015309095295341302,0.3612458478760042
89,0.012287317478979709,0.3477170437685906
90,0.00955072172914262,0.3338578328238906
91,0.007121328396816451,0.3196298248572551
92,0.005022807855848188,0.3049851153667307
93,0.003279286868949849,0.2898625668183892
94,0.0019124510079002732,0.27418194881239133
95,0.0009351374508969057,0.25783418475065
96,0.00033822538907257726,0.24066393305724154
97,6.7732936217757e-05,0.22243539573425197
98,3.1785386456206766e-06,0.20275554221072034
99,5.000000413701855e-10,0.18086129722111977
100,0.0,0.15474120168021877
